REG_ANS;Trimestre;Ano;ValorDespesas
000477;1T;2025;93880682.42
000515;1T;2025;7096486.67
000582;1T;2025;1319460931.64
000701;1T;2025;1205194240.59
000884;1T;2025;82496034.5
005711;1T;2025;7457669173.86
006246;1T;2025;6360692010.44
300136;1T;2025;28729013.43
300713;1T;2025;29005674.43
300730;1T;2025;894511.87
301060;1T;2025;14557179.87
301124;1T;2025;8674214.82
301574;1T;2025;52519092.22
301728;1T;2025;13746674.5
301744;1T;2025;16823670.56
301949;1T;2025;164878813.67
302147;1T;2025;1414729129.27
302228;1T;2025;6285381.92
302627;1T;2025;9249631.6
302953;1T;2025;98326890.27
303178;1T;2025;16312706.45
303267;1T;2025;103538271.68
303356;1T;2025;120297038.66
303623;1T;2025;192029482.97
303739;1T;2025;49698090.18
303844;1T;2025;9999084.13
303976;1T;2025;376347317.08
304051;1T;2025;25637777.07
304123;1T;2025;12214557.38
304131;1T;2025;28161018.18
304212;1T;2025;2485208.98
304344;1T;2025;21327551.93
304395;1T;2025;27739091.64
304441;1T;2025;4103796.56
304468;1T;2025;29450789.28
304484;1T;2025;14295423.68
304531;1T;2025;2403405.88
304701;1T;2025;748372943.59
304883;1T;2025;59072644.98
305227;1T;2025;22751546.13
305421;1T;2025;834787.73
305472;1T;2025;23403090.78
305626;1T;2025;6372970.05
305928;1T;2025;1621567.86
306045;1T;2025;2400976.28
306100;1T;2025;37615752.31
306126;1T;2025;43748678.28
306398;1T;2025;135438392.8
306754;1T;2025;9584541.37
306762;1T;2025;41616243.03
306886;1T;2025;128408414.77
307319;1T;2025;60966577.25
307751;1T;2025;26734013.09
308811;1T;2025;8909998.65
309028;1T;2025;3091834.96
309087;1T;2025;16711245.28
309222;1T;2025;502737234.24
309524;1T;2025;7272764.04
309907;1T;2025;34555131.88
310239;1T;2025;5737112.64
310247;1T;2025;67168473.46
310522;1T;2025;47082680.13
310981;1T;2025;3106742.67
311057;1T;2025;64547.93
311146;1T;2025;16579706.97
311294;1T;2025;40847753.3
311359;1T;2025;20740389.38
311375;1T;2025;50162582.39
311391;1T;2025;2769928.51
311618;1T;2025;26637627.99
311715;1T;2025;33784242.51
311847;1T;2025;84920061.47
311944;1T;2025;7795606.64
311961;1T;2025;32952688.4
312126;1T;2025;523884337.14
312282;1T;2025;9660599.3
312347;1T;2025;36898177.25
312363;1T;2025;1185440919.63
312592;1T;2025;25704190.69
312720;1T;2025;156380661.87
312851;1T;2025;207320407.07
313084;1T;2025;11311383.14
313149;1T;2025;1612537.09
313211;1T;2025;30683296.16
313475;1T;2025;3534694.43
313751;1T;2025;9347029.92
314099;1T;2025;50566553.02
314218;1T;2025;169576703.73
314242;1T;2025;9054211.01
314251;1T;2025;17771323.75
314315;1T;2025;2726073.09
314366;1T;2025;806568.16
314587;1T;2025;10402720.36
314668;1T;2025;45234832.87
314706;1T;2025;2606520.86
314781;1T;2025;7763656.15
315044;1T;2025;50566835.02
315265;1T;2025;16646744.58
315478;1T;2025;364078213.34
315494;1T;2025;8298927.19
315567;1T;2025;44647215.63
315583;1T;2025;6815581.45
315648;1T;2025;11037437.84
315729;1T;2025;150834801.75
315796;1T;2025;106013723.71
316148;1T;2025;23947657.09
316458;1T;2025;6736715.4
316849;1T;2025;1680720.58
316873;1T;2025;31969866.09
316881;1T;2025;34219703.8
316903;1T;2025;124677.97
316997;1T;2025;1532924.66
317012;1T;2025;14434089.38
317144;1T;2025;628048750.62
317233;1T;2025;67366195.08
317632;1T;2025;79274881.76
317896;1T;2025;8922170.38
318035;1T;2025;13766861.42
318213;1T;2025;9578642.82
318299;1T;2025;57502692.66
318388;1T;2025;24068168.69
318477;1T;2025;26388334.65
318566;1T;2025;34219043.08
319121;1T;2025;132203582.69
319180;1T;2025;13005088.27
319384;1T;2025;40914121.83
319422;1T;2025;19734307.55
319708;1T;2025;63831016.35
319872;1T;2025;977782.98
319996;1T;2025;325879655.03
320251;1T;2025;53956546.13
320706;1T;2025;98591544.35
320820;1T;2025;10613737.74
320838;1T;2025;225171.17
320862;1T;2025;23954745.69
320897;1T;2025;18974640.65
321044;1T;2025;245019635.12
321087;1T;2025;12431292.61
321125;1T;2025;4786366.8
321273;1T;2025;140101664.97
321320;1T;2025;7167731.59
321338;1T;2025;435104.41
321931;1T;2025;8716081.01
321958;1T;2025;73818216.45
322326;1T;2025;2646384.94
322571;1T;2025;28454734.58
322831;1T;2025;20892275.25
322890;1T;2025;1184197.53
323004;1T;2025;3772775
323055;1T;2025;15657912.34
323080;1T;2025;1224189803.85
323268;1T;2025;92513562.33
323357;1T;2025;15769796.59
323926;1T;2025;20388450.87
323942;1T;2025;8882598.89
323993;1T;2025;43696113.83
324159;1T;2025;16410418
324175;1T;2025;5754603.6
324213;1T;2025;703688.09
324299;1T;2025;8188441.83
324345;1T;2025;32602982.87
324361;1T;2025;58779300.54
324477;1T;2025;78780076.37
324493;1T;2025;50304469.15
324523;1T;2025;198.58
324566;1T;2025;18628240.88
325031;1T;2025;19511623.74
325082;1T;2025;3188270.48
325236;1T;2025;21381591.99
325465;1T;2025;8838786.07
325571;1T;2025;238177897.83
326305;1T;2025;5320013593.04
326500;1T;2025;95209247.46
326755;1T;2025;45638422.88
326861;1T;2025;73551777.82
327328;1T;2025;282159.35
327352;1T;2025;7087338.17
327417;1T;2025;59455534.98
327468;1T;2025;6258289.07
327557;1T;2025;25883369.57
327638;1T;2025;4517679.06
327689;1T;2025;252571793.11
328294;1T;2025;23761669.24
328308;1T;2025;9871010.1
328375;1T;2025;6406115.28
328537;1T;2025;37641327.32
329339;1T;2025;70412474.69
329355;1T;2025;11027809.05
329886;1T;2025;23629570.34
330108;1T;2025;27653378.26
330116;1T;2025;11095298.53
330264;1T;2025;26849551.19
330281;1T;2025;11543820.44
330566;1T;2025;25730239.27
330809;1T;2025;28991675.01
330892;1T;2025;4631440.87
331104;1T;2025;1084699.55
331317;1T;2025;72897411.63
331341;1T;2025;53688518.88
331651;1T;2025;18853216.42
331872;1T;2025;155893583.45
331988;1T;2025;105221473.72
333051;1T;2025;56579286.04
333239;1T;2025;327877.36
333662;1T;2025;38566184.38
333689;1T;2025;0
333808;1T;2025;14199446.3
333867;1T;2025;3526107.01
333875;1T;2025;12708670.32
334154;1T;2025;19424752.98
334243;1T;2025;1552783.22
334511;1T;2025;0
334561;1T;2025;165952615.89
334847;1T;2025;3918374.24
335100;1T;2025;299531883.53
335215;1T;2025;31074591.17
335258;1T;2025;5463962.69
335479;1T;2025;98634264.65
335517;1T;2025;19335150.68
335541;1T;2025;19215848.32
335592;1T;2025;274672266.16
335614;1T;2025;348229978.42
335657;1T;2025;6364905.83
335690;1T;2025;733967058.55
335754;1T;2025;26705614.17
335789;1T;2025;6105296.57
336017;1T;2025;1646750.07
336106;1T;2025;81792709.21
336467;1T;2025;3720371.32
336831;1T;2025;30826123.79
336858;1T;2025;20513161.55
337188;1T;2025;67853975.58
337374;1T;2025;63187066.26
337498;1T;2025;17291994.5
337561;1T;2025;3955105.21
337668;1T;2025;140377218.56
337871;1T;2025;50162417.12
338346;1T;2025;16994463.06
338648;1T;2025;54412445.11
339458;1T;2025;1084975.51
339679;1T;2025;1603725432.27
339954;1T;2025;158596069.24
340162;1T;2025;1349689.81
340251;1T;2025;17797777.18
340782;1T;2025;164452269.46
340952;1T;2025;104047887.9
341819;1T;2025;77318.87
341941;1T;2025;4217950.77
342033;1T;2025;183408719.34
342084;1T;2025;322176162.17
342131;1T;2025;7008542.91
342157;1T;2025;2544526.85
342203;1T;2025;4347354.33
342343;1T;2025;11509174.61
342386;1T;2025;8622727.49
342556;1T;2025;52576876.21
342611;1T;2025;23187871.73
342807;1T;2025;38513434.5
342955;1T;2025;935937.41
343056;1T;2025;1014204.06
343064;1T;2025;21907361.5
343129;1T;2025;6805431.69
343153;1T;2025;3386245.5
343269;1T;2025;250136910.73
343331;1T;2025;20913505.93
343404;1T;2025;430767
343463;1T;2025;17891827.33
343676;1T;2025;15127374.6
343684;1T;2025;13146366.8
343722;1T;2025;3123840.54
343731;1T;2025;233143699.37
343765;1T;2025;7160791.16
343889;1T;2025;1326993867.4
344141;1T;2025;912829.78
344184;1T;2025;886413.49
344362;1T;2025;48340989.73
344397;1T;2025;90339321.23
344451;1T;2025;4738924.19
344729;1T;2025;35761778.94
344788;1T;2025;2827472.18
344800;1T;2025;76860965.34
344885;1T;2025;352427564.39
344915;1T;2025;1008771.89
345091;1T;2025;14961508.1
345318;1T;2025;4458242.11
345458;1T;2025;15986586.53
345598;1T;2025;54264277.3
345709;1T;2025;29741042.65
345741;1T;2025;1343672.78
345776;1T;2025;13843328.11
346004;1T;2025;4283389.41
346209;1T;2025;30302387
346276;1T;2025;69841949.11
346659;1T;2025;1821923779.06
346870;1T;2025;2233707.87
346926;1T;2025;339345947.14
346951;1T;2025;15655349.67
347108;1T;2025;11836322.2
347507;1T;2025;48951221.72
347604;1T;2025;2027886.48
347655;1T;2025;26362019.42
347736;1T;2025;9167721.04
347795;1T;2025;1377650.17
347825;1T;2025;2540263.96
348082;1T;2025;67637898.84
348180;1T;2025;99279266.97
348244;1T;2025;21599507.87
348261;1T;2025;11090679.98
348295;1T;2025;262978468.78
348520;1T;2025;218357384.43
348830;1T;2025;55073479.63
349534;1T;2025;27033523.41
349682;1T;2025;71064789.46
349712;1T;2025;78313550.58
350141;1T;2025;338708539.61
350249;1T;2025;75318212.19
350346;1T;2025;5481426.31
350371;1T;2025;59617575.89
350494;1T;2025;19879556.17
350648;1T;2025;8193213.08
350699;1T;2025;25783800.63
350770;1T;2025;1089676.35
351202;1T;2025;191025952
351270;1T;2025;8079987.98
351407;1T;2025;31111696.36
351776;1T;2025;7138221.99
351792;1T;2025;88076.09
352179;1T;2025;20022424.05
352314;1T;2025;20291586.39
352331;1T;2025;269066965.79
352501;1T;2025;851988499.85
352519;1T;2025;4075805.09
352543;1T;2025;34153131.6
352586;1T;2025;16759328.02
352683;1T;2025;60148720.57
353027;1T;2025;16469547.46
353060;1T;2025;59400741.43
353264;1T;2025;5754950.58
353353;1T;2025;134337180.41
353663;1T;2025;95707596.61
353698;1T;2025;3911941.16
353876;1T;2025;10035306.19
354031;1T;2025;124873997.5
354066;1T;2025;94217661.51
354279;1T;2025;20298131.02
354295;1T;2025;53079685.47
354325;1T;2025;19761629.54
354511;1T;2025;37821427.92
354562;1T;2025;41785372.2
354619;1T;2025;7882867.65
354627;1T;2025;11539294.63
354678;1T;2025;3975337.69
354783;1T;2025;82022598.47
354996;1T;2025;7485617.16
355097;1T;2025;205749484.27
355151;1T;2025;82005527.72
355577;1T;2025;16955857.7
355593;1T;2025;12203787.16
355691;1T;2025;142581327.02
355721;1T;2025;203235488.18
356123;1T;2025;34643329.44
356417;1T;2025;98987030.79
356476;1T;2025;30663429.02
356581;1T;2025;14803024.07
357022;1T;2025;21151030.95
357138;1T;2025;33901106
357260;1T;2025;47107424.96
357391;1T;2025;456988550.14
357511;1T;2025;241599986.26
357669;1T;2025;4861766.63
357715;1T;2025;9581090.21
358053;1T;2025;13069639.11
358088;1T;2025;60416859.41
358096;1T;2025;22777829.02
358282;1T;2025;9339469.38
358339;1T;2025;1541897.63
358436;1T;2025;4243315.52
358754;1T;2025;15150464.97
359017;1T;2025;2324392955.22
359033;1T;2025;9210445.24
359122;1T;2025;24715870.98
359289;1T;2025;38608164.19
359661;1T;2025;555479030.68
359777;1T;2025;59002483.44
360244;1T;2025;69895466.5
360414;1T;2025;15225102.2
360449;1T;2025;281513464.45
360783;1T;2025;2938905.88
361011;1T;2025;145107614.28
361461;1T;2025;19432786.35
361569;1T;2025;4060608.92
361593;1T;2025;2740739.84
361615;1T;2025;26041769.71
361941;1T;2025;24729411.76
362140;1T;2025;23619999.1
362573;1T;2025;8965161.25
362832;1T;2025;7639796.37
363189;1T;2025;2696168.82
363286;1T;2025;11542431.38
363391;1T;2025;1719222.12
363855;1T;2025;23347197.14
364070;1T;2025;6745701.11
364312;1T;2025;79962147.88
364584;1T;2025;103136112.49
364592;1T;2025;14621056.39
364860;1T;2025;38063370.34
365238;1T;2025;17636719.4
365530;1T;2025;11108192.56
365645;1T;2025;3344445.7
365777;1T;2025;15650515.86
365785;1T;2025;1086154.28
366064;1T;2025;15822774.97
366340;1T;2025;11926751.98
366439;1T;2025;3954909.93
366561;1T;2025;76430767.45
367087;1T;2025;70120455.42
367095;1T;2025;90890953.58
367397;1T;2025;74449764.16
367613;1T;2025;2509608.14
368148;1T;2025;17703860.75
368253;1T;2025;2237412102.98
368555;1T;2025;6732582.72
368920;1T;2025;21675260.11
369292;1T;2025;88104666.43
369411;1T;2025;39431119.43
369659;1T;2025;122585549.87
370070;1T;2025;120972273.99
370088;1T;2025;16142454.09
370568;1T;2025;1538227.54
370592;1T;2025;3855297.31
370681;1T;2025;43849936.43
370711;1T;2025;1280323.88
370975;1T;2025;13397734.89
371106;1T;2025;48096257.97
371254;1T;2025;189073136.2
371564;1T;2025;8829789
371629;1T;2025;44831438.2
371777;1T;2025;30735792.89
372561;1T;2025;19208762.86
372609;1T;2025;57895631.85
374440;1T;2025;8554336.25
378216;1T;2025;15362307.3
379280;1T;2025;50080008.11
379956;1T;2025;532364331.52
380661;1T;2025;89408933.66
381144;1T;2025;1262773.79
382281;1T;2025;788933.35
382540;1T;2025;23027132.97
382639;1T;2025;456873.43
382655;1T;2025;1422381.65
382876;1T;2025;606539170.54
384577;1T;2025;178455739.89
384704;1T;2025;6286312.01
385255;1T;2025;37360059.48
385620;1T;2025;11518543.22
385697;1T;2025;92960689.2
386588;1T;2025;70554984.81
386596;1T;2025;30440159.68
386901;1T;2025;6608296.55
387185;1T;2025;7661832.38
388092;1T;2025;2074564.59
389358;1T;2025;2470049.83
389854;1T;2025;2976340.62
390259;1T;2025;2039707.43
392804;1T;2025;95285979.76
393533;1T;2025;-1866670.71
394734;1T;2025;20181647.42
395480;1T;2025;18062624.47
397245;1T;2025;251416.72
401081;1T;2025;28854111.64
401480;1T;2025;5995847.31
402001;1T;2025;2644589.97
402206;1T;2025;5299613.7
402966;1T;2025;4778254.29
403962;1T;2025;14399328.71
404241;1T;2025;4039046.38
406481;1T;2025;22089332.33
406554;1T;2025;38201727.44
406635;1T;2025;1938497.85
406805;1T;2025;5137807.63
406813;1T;2025;929200.72
406937;1T;2025;5185012.86
406945;1T;2025;12551573.88
407011;1T;2025;1671527.09
407224;1T;2025;1140791.14
407534;1T;2025;478448.91
407569;1T;2025;1699489.76
408026;1T;2025;1008044.92
408034;1T;2025;1219017.36
408093;1T;2025;902576.17
408263;1T;2025;2268864.04
408522;1T;2025;343968.47
408794;1T;2025;7756918.99
409243;1T;2025;43198704.21
409286;1T;2025;90940.11
409405;1T;2025;895068.22
409413;1T;2025;3149957.78
409634;1T;2025;1980316.14
409791;1T;2025;1499217.31
410110;1T;2025;6629510.58
410128;1T;2025;9757129.18
410292;1T;2025;17099464.49
410608;1T;2025;3262438.07
410624;1T;2025;2129779.54
410888;1T;2025;6810325.15
411248;1T;2025;1301686.1
411256;1T;2025;117779074.5
411582;1T;2025;14113163.94
411752;1T;2025;55536303.01
411809;1T;2025;2739619.16
411868;1T;2025;1837953.88
412015;1T;2025;845364.74
412058;1T;2025;8042144.72
412252;1T;2025;5821498.98
412295;1T;2025;19594663.92
412635;1T;2025;5901435.79
412759;1T;2025;6708834.7
412996;1T;2025;2175221.68
413160;1T;2025;11632046.35
413267;1T;2025;818489.09
413283;1T;2025;1044671.99
413330;1T;2025;9680561.76
413372;1T;2025;4767060.24
413429;1T;2025;4861957.51
413518;1T;2025;4641466.84
413534;1T;2025;223013526.13
413721;1T;2025;7471200.33
413747;1T;2025;1024378.27
414026;1T;2025;1797608.68
414212;1T;2025;6407809.12
414310;1T;2025;27174540.52
414352;1T;2025;31677645.55
414387;1T;2025;1396303.55
414492;1T;2025;40984908.36
414573;1T;2025;18484477.18
414581;1T;2025;46240321.37
414654;1T;2025;1585683.55
414662;1T;2025;3299209.22
414689;1T;2025;181850.51
414701;1T;2025;2048703.73
414905;1T;2025;3930553.55
414930;1T;2025;23781357.41
415014;1T;2025;22608827.3
415065;1T;2025;11477004.23
415081;1T;2025;601730.21
415111;1T;2025;61834619.22
415243;1T;2025;1068531.01
415626;1T;2025;5852962.1
415693;1T;2025;39521298.6
415774;1T;2025;39409187.52
415901;1T;2025;352014.83
415910;1T;2025;621218.84
415936;1T;2025;9629800.67
415944;1T;2025;25919.95
415987;1T;2025;1051624.06
416398;1T;2025;16400169.11
416401;1T;2025;45328501.42
416410;1T;2025;5965.44
416428;1T;2025;1053537.38
416495;1T;2025;17911315.86
416525;1T;2025;2547541.06
416568;1T;2025;39208907.06
416584;1T;2025;10961284.36
416690;1T;2025;18237936.28
416738;1T;2025;18167399.28
416801;1T;2025;19055098.88
417106;1T;2025;571094.06
417131;1T;2025;389613.02
417211;1T;2025;16285548.66
417220;1T;2025;599121.58
417297;1T;2025;23301503.96
417424;1T;2025;0
417475;1T;2025;1941592.52
417491;1T;2025;821312.65
417505;1T;2025;136569411.1
417530;1T;2025;79987529.2
417548;1T;2025;43585275.35
417599;1T;2025;23245064.99
417611;1T;2025;0
417661;1T;2025;14500394.46
417815;1T;2025;16229856.62
417831;1T;2025;811598.87
417947;1T;2025;33227214.11
417955;1T;2025;14884275.22
418021;1T;2025;78079233.13
418072;1T;2025;537026.11
418129;1T;2025;1425485.53
418137;1T;2025;6156864.69
418161;1T;2025;0
418170;1T;2025;91948117.85
418218;1T;2025;817683.67
418226;1T;2025;2677120.08
418285;1T;2025;0
418374;1T;2025;24766876.79
418501;1T;2025;2688043.91
418587;1T;2025;16756849.44
418617;1T;2025;10840721.17
418650;1T;2025;36316706.48
418731;1T;2025;17244812.56
418749;1T;2025;1428839.03
418803;1T;2025;20938135.77
418820;1T;2025;11404058.95
418919;1T;2025;11089044.41
418994;1T;2025;152781.96
419010;1T;2025;97151125.76
419028;1T;2025;662811.41
419052;1T;2025;13837570.36
419079;1T;2025;14426.14
419133;1T;2025;0
419141;1T;2025;26422662.84
419150;1T;2025;13607044.11
419249;1T;2025;119085600.76
419257;1T;2025;0
419281;1T;2025;485947.94
419354;1T;2025;-45917.06
419419;1T;2025;8154111.43
419427;1T;2025;14305920.69
419486;1T;2025;14107653.46
419516;1T;2025;7489460.18
419524;1T;2025;311634.77
419567;1T;2025;0
419591;1T;2025;1582541.58
419699;1T;2025;9865963.2
419753;1T;2025;1967815.52
419851;1T;2025;2477142.7
419958;1T;2025;7583405.57
419974;1T;2025;2536993.71
420000;1T;2025;16211863.08
420051;1T;2025;250403.13
420077;1T;2025;68954286.56
420085;1T;2025;3855833.88
420093;1T;2025;1046807.97
420123;1T;2025;2214820.09
420158;1T;2025;21220219.27
420166;1T;2025;44169153.85
420701;1T;2025;7271916.03
420786;1T;2025;6266876.95
420816;1T;2025;713631.78
420841;1T;2025;2848.8
420930;1T;2025;637492.58
420981;1T;2025;1516452.39
421006;1T;2025;16124343.55
421146;1T;2025;0
421154;1T;2025;10975343.38
421189;1T;2025;757403.48
421197;1T;2025;23701189.83
421341;1T;2025;22284895.52
421359;1T;2025;3616294.03
421367;1T;2025;1484944.68
421421;1T;2025;61558843.68
421561;1T;2025;228946.14
421618;1T;2025;1358108.8
421634;1T;2025;1120459.57
421642;1T;2025;225.39
421707;1T;2025;4246798.36
421715;1T;2025;0
421723;1T;2025;490266.37
421731;1T;2025;10046468.75
421766;1T;2025;13248066.98
421871;1T;2025;2341437.47
421928;1T;2025;91207494.34
421944;1T;2025;13447817.12
422029;1T;2025;61580643.9
422053;1T;2025;0
422070;1T;2025;13257333.35
422088;1T;2025;1006362.67
422134;1T;2025;-406662.69
422151;1T;2025;4131747.65
422304;1T;2025;1577022.52
422321;1T;2025;14613755.83
422339;1T;2025;85271230.7
422355;1T;2025;868650.49
422371;1T;2025;7059441.54
422398;1T;2025;23026981.04
422401;1T;2025;0
422479;1T;2025;20145.68
422576;1T;2025;0
422584;1T;2025;4724455.75
422631;1T;2025;30838913.81
422681;1T;2025;23867702.76
422746;1T;2025;506659.62
422754;1T;2025;-56030.71
422762;1T;2025;4203471.04
422771;1T;2025;13980899.16
422827;1T;2025;5750070.56
422835;1T;2025;2922346.6
422941;1T;2025;0
422959;1T;2025;1333585.26
423017;1T;2025;0
423173;1T;2025;66088065.98
423181;1T;2025;123798.39
423203;1T;2025;1695054.63
423262;1T;2025;129517.18
423319;1T;2025;13661040.54
423335;1T;2025;10834023.47
423351;1T;2025;5128852.61
423408;1T;2025;376454.29
423432;1T;2025;848570.21
423548;1T;2025;2745276.81
423564;1T;2025;182561.22
423629;1T;2025;3307898.92
423645;1T;2025;252458.74
423661;1T;2025;22232223.09
423700;1T;2025;1940.05
423718;1T;2025;4823111.7
423742;1T;2025;0
423815;1T;2025;5582.14
423858;1T;2025;0
423912;1T;2025;125920.19
424048;1T;2025;609816.24
424129;1T;2025;0
424145;1T;2025;0
424161;1T;2025;0
424170;1T;2025;240338.68
